team_code,scorer
ECU,Willian Pacho
ECU,Piero Hincapié
ECU,John Yeboah
ECU,Moisés Caicedo
ECU,Pedro Vite
ECU,Nilson Angulo
ECU,Gonzalo Plata
ECU,Enner Valencia
ECU,Gonzalo Valle
ECU,Moisés Ramirez
ECU,Félix Torres
ECU,Jackson Porozo
ECU,Yaimar Medina
ECU,Ángelo Preciado
ECU,Anthony Valencia
ECU,Denil Castillo
ECU,Jordy Alcívar
ECU,Pervis Estupinán
ECU,Alan Minda
ECU,Jeremy Arévalo
ECU,Jordy Caicedo
ECU,Kendry Páez
ECU,Kevin Rodríguez
ENG,Jordan Pickford
ENG,Jarell Quansah
ENG,Ezri Konsa
ENG,Marc Guéhi
ENG,Nico O'Reilly
ENG,Elliot Anderson
ENG,Jude Bellingham
ENG,Bukayo Saka
ENG,Morgan Rogers
ENG,Marcus Rashford
ENG,Harry Kane
ENG,Dean Henderson
ENG,James Trafford
ENG,Daniel Burn
ENG,Djed Spence
ENG,John Stones
ENG,Trevoh Chalobah
ENG,Declan Rice
ENG,Eberechi Eze
ENG,Jordan Henderson
ENG,Kobbie Mainoo
ENG,Anthony Gordon
ENG,Ivan Toney
ENG,Noni Madueke
ENG,Ollie Watkins
COD,Lionel Mpasi-Nzau
COD,Aaron Wan-Bissaka
COD,Chancel Mbemba
COD,Axel Tuanzebe
COD,Arthur Masuaku
COD,Nathanaël Mbuku
COD,Samuel Moutoussamy
COD,Noah Sadiki
COD,Brian Cipenga
COD,Yoane Wissa
COD,Cédric Bakambu
COD,Matthieu Epolo
COD,Timothy Fayulu
COD,Dylan Batubinsika
COD,Gédéon Kalulu
COD,Joris Kayembe Ditu
COD,Steve Kapuadi
COD,Aaron Tshibola
COD,Charles Pickel
COD,Edo Kayembe
COD,Ngal Ayel Mukau
COD,Fiston Mayele
COD,Gaël Kakuta
COD,Meschack Elia
COD,Simon Banza
COD,Théo Bongonda
SUI,Gregor Kobel
SUI,Luca Jaquez
SUI,Nico Elvedi
SUI,Manuel Akanji
SUI,Ricardo Rodríguez
SUI,Granit Xhaka
SUI,Remo Freuler
